Client,Scrip Name,Scrip Token,Scrip Ltp,Scrip Expiry,Underlying,Underlying Future,Underlying Token,Underlying Ltp,Underlying Expiry,Strike Price,Option Type,Instrument Name,BEP,Net Position,IV Lower,IV Middle,IV Higher,Quantity,Flat Underlying Scrip Name,Day Net Qty,Day Amt
EA897632,YESBANK19JUNFUT,57603,0.00,"1,246,060,800.00",YESBANK,YESBANK19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,110.16,"-28,000.00",0.00,0.00,0.00,"-28,000.00",YESBANK_|1246060800_|FUT_|0,-28000,-3084375
EA897632,YESBANK19JULFUT,46978,0.00,"1,248,480,000.00",YESBANK,YESBANK19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,110.40,"50,600.00",0.00,0.00,0.00,"50,600.00",YESBANK_|1248480000_|FUT_|0,50600,5586020
EA897632,UNIONBANK19JULFUT,46971,0.00,"1,248,480,000.00",UNIONBANK,UNIONBANK19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,75.74,"28,000.00",0.00,0.00,0.00,"28,000.00",UNIONBANK_|1248480000_|FUT_|0,28000,2120650
EA897632,ULTRACEMCO19JUNFUT,57595,0.00,"1,246,060,800.00",ULTRACEMCO,ULTRACEMCO19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,"-3,210.00",0.00,0.00,0.00,0.00,0.00,ULTRACEMCO_|1246060800_|FUT_|0,0,3210
EA897632,TVSMOTOR19JUNFUT,57592,0.00,"1,246,060,800.00",TVSMOTOR,TVSMOTOR19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,434.51,"9,000.00",0.00,0.00,0.00,"9,000.00",TVSMOTOR_|1246060800_|FUT_|0,9000,3910550
EA897632,TECHM19JUNFUT,57587,0.00,"1,246,060,800.00",TECHM,TECHM19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,725.95,"4,800.00",0.00,0.00,0.00,"4,800.00",TECHM_|1246060800_|FUT_|0,4800,3484560
EA897632,SBIN19JULFUT,46933,0.00,"1,248,480,000.00",SBIN,SBIN19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,358.10,"-6,000.00",0.00,0.00,0.00,"-6,000.00",SBIN_|1248480000_|FUT_|0,-6000,-2148600
EA897632,PNB19JULFUT,46916,0.00,"1,248,480,000.00",PNB,PNB19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,"8,050.00",0.00,0.00,0.00,0.00,0.00,PNB_|1248480000_|FUT_|0,0,-8050
EA897632,NESTLEIND19JUNFUT,57371,0.00,"1,246,060,800.00",NESTLEIND,NESTLEIND19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,"11,706.28",350.00,0.00,0.00,0.00,350.00,NESTLEIND_|1246060800_|FUT_|0,350,4097197.5
EA897632,NESTLEIND19JULFUT,46892,0.00,"1,248,480,000.00",NESTLEIND,NESTLEIND19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,"11,772.38",-200.00,0.00,0.00,0.00,-200.00,NESTLEIND_|1248480000_|FUT_|0,-200,-2354475
EA897632,MARICO19JUNFUT,57354,0.00,"1,246,060,800.00",MARICO,MARICO19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,374.80,"-5,200.00",0.00,0.00,0.00,"-5,200.00",MARICO_|1246060800_|FUT_|0,-5200,-1948960
EA897632,KOTAKBANK19JUNFUT,57344,0.00,"1,246,060,800.00",KOTAKBANK,KOTAKBANK19JUNFUT,0,0.00,1246060800,0.00,XX,FUTSTK,"1,480.49","-2,800.00",0.00,0.00,0.00,"-2,800.00",KOTAKBANK_|1246060800_|FUT_|0,-2800,-4145380
EA897632,KOTAKBANK19JULFUT,46716,0.00,"1,248,480,000.00",KOTAKBANK,KOTAKBANK19JULFUT,0,0.00,1248480000,0.00,XX,FUTSTK,"1,489.98","4,000.00",0.00,0.00,0.00,"4,000.00",KOTAKBANK_|1248480000_|FUT_|0,4000,5959900
